RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty
2022-09-23;PETRK342;BRPETR4K0UR2;EQUITY CALL;0,28;0,32;0,3;0,31;;;0,34;6;14100
2022-09-23;PETRK343;BRPETR3K0722;EQUITY CALL;;;;;;;6,48;;
2022-09-23;PETRK344;BRPETR4K0TL7;EQUITY CALL;3,93;4,18;3,99;3,94;;;3,99;19;104200
2022-09-23;PETRK345;BRPETR4K0V75;EQUITY CALL;1,07;1,83;1,16;1,17;;;1,14;185;249700
2022-09-23;PETRK347;BRPETR4K0UA8;EQUITY CALL;0,46;0,49;0,47;0,46;;;0,5;15;22700
2022-09-23;PETRK348;BRPETR3K0714;EQUITY CALL;;;;;;;6,09;;
2022-09-23;PETRK349;BRPETR3K07Y3;EQUITY CALL;1,98;2,67;2,2;2,11;;;2,06;69;67700
2022-09-23;PETRK35;BRPETR3K07B1;EQUITY CALL;;;;;;;5,71;;
2022-09-23;PETRK350;BRPETR4K0TM5;EQUITY CALL;3,44;4;3,63;3,55;;;3,53;37;21300
2022-09-23;PETRK353;BRPETR4K0T79;EQUITY CALL;5,25;5,67;5,44;5,25;;;5,37;17;17200
2022-09-23;PETRK354;BRPETR3K0805;EQUITY CALL;1,82;2,37;1,93;1,93;;;1,88;32;33100
2022-09-23;PETRK355;BRPETR4K0TR4;EQUITY CALL;3,17;4;3,25;3,25;;;3,25;77;52300
2022-09-23;PETRK357;BRPETR4K0VR0;EQUITY CALL;0,27;0,28;0,27;0,28;;;0,3;8;90700
2022-09-23;PETRK358;BRPETR3K0763;EQUITY CALL;;;;;;;5,34;;
2022-09-23;PETRK359;BRPETR4K0TE2;EQUITY CALL;4,91;5,03;4,91;5,03;;;5;2;6300
2022-09-23;PETRK360;BRPETR4K0UB6;EQUITY CALL;0,39;0,48;0,45;0,45;;;0,45;95;144900
2022-09-23;PETRK361;BRPETR3K07S5;EQUITY CALL;1,65;2,1;1,74;1,7;;;1,71;6;16500
2022-09-23;PETRK363;BRPETR3K0730;EQUITY CALL;;;;;;;4,99;;
2022-09-23;PETRK364;BRPETR4K0T61;EQUITY CALL;4,23;5,28;4,41;4,23;;;4,31;36;48700
2022-09-23;PETRK365;BRPETR4K0UP6;EQUITY CALL;0,23;0,27;0,25;0,25;;;0,27;9;86800
2022-09-23;PETRK366;BRPETR3K07T3;EQUITY CALL;1,54;1,92;1,59;1,61;;;1,56;11;17900
2022-09-23;PETRK368;BRPETR3K06Z2;EQUITY CALL;;;;;;;4,65;;
2022-09-23;PETRK369;BRPETR4K0SY2;EQUITY CALL;6,9;7,28;7,05;7,07;;;6,97;72;30600
2022-09-23;PETRK37;BRPETR3K07J4;EQUITY CALL;;;;;;;1,29;;
2022-09-23;PETRK370;BRPETR4K0TV6;EQUITY CALL;1,56;2,05;1,77;1,67;;;1,63;220;444000
2022-09-23;PETRK371;BRPETR3K07P1;EQUITY CALL;;;;;;;1,42;;
2022-09-23;PETRK372;BRPETR4K0UE0;EQUITY CALL;0,36;0,38;0,37;0,38;;;0,4;6;22500
2022-09-23;PETRK373;BRPETR3K0755;EQUITY CALL;;;;;;;4,33;;
2022-09-23;PETRK375;BRPETR3K06U3;EQUITY CALL;;;;;;;6,87;;
2022-09-23;PETRK376;BRPETR4K0T12;EQUITY CALL;5,61;6,1;5,75;5,71;;;5,56;13;10500
2022-09-23;PETRK377;BRPETR4K0UC4;EQUITY CALL;0,52;0,68;0,54;0,56;;;0,56;70;7705800
2022-09-23;PETRK378;BRPETR4K0UD2;EQUITY CALL;0,31;0,34;0,32;0,32;;;0,36;10;19000
2022-09-23;PETRK38;BRPETR4K0RY4;EQUITY CALL;8,15;9,39;8,82;8,15;;;8,27;44;114000
2022-09-23;PETRK380;BRPETR3K07Q9;EQUITY CALL;;;;;;;1,17;;
2022-09-23;PETRK381;BRPETR4K0TU8;EQUITY CALL;2;2,57;2,19;2,12;;;2,07;225;502000
2022-09-23;PETRK383;BRPETR3K0706;EQUITY CALL;;;;;;;3,72;;
2022-09-23;PETRK384;BRPETR4K0T87;EQUITY CALL;3,62;3,84;3,68;3,7;;;3,68;50;50500
2022-09-23;PETRK385;BRPETR4K0VU4;EQUITY CALL;0,21;0,25;0,22;0,23;;;0,24;21;234100
2022-09-23;PETRK386;BRPETR3K07U1;EQUITY CALL;;;;;;;1,06;;
2022-09-23;PETRK387;BRPETR4K0W09;EQUITY CALL;0,19;0,21;0,19;0,2;;;0,21;10;124100
2022-09-23;PETRK388;BRPETR3K0771;EQUITY CALL;;;;;;;3,44;;
2022-09-23;PETRK389;BRPETR4K0TB8;EQUITY CALL;3,02;3,51;3,2;3,11;;;3,11;15;20000
2022-09-23;PETRK390;BRPETR4K0UJ9;EQUITY CALL;0,28;0,31;0,29;0,29;;;0,32;13;26000
2022-09-23;PETRK391;BRPETR3K07O4;EQUITY CALL;;;;;;;0,96;;
2022-09-23;PETRK393;BRPETR3K07A3;EQUITY CALL;;;;;;;3,17;;
2022-09-23;PETRK395;BRPETR4K0U76;EQUITY CALL;0,25;0,33;0,26;0,26;;;0,28;37;206700
2022-09-23;PETRK396;BRPETR3K07N6;EQUITY CALL;;;;;;;0,87;;
2022-09-23;PETRK397;BRPETR4K0TO1;EQUITY CALL;1,41;2,05;1,48;1,5;;;1,47;288;421000
2022-09-23;PETRK398;BRPETR3K06W9;EQUITY CALL;;;;;;;2,92;;
2022-09-23;PETRK399;BRPETR4K0T20;EQUITY CALL;4,57;5,17;4,74;4,57;;;4,65;16;57200
2022-09-23;PETRK4;BRPETR4K0S54;EQUITY CALL;22,6;22,6;22,6;22,6;;;22,43;1;100
2022-09-23;PETRK400;BRPETR4K0VY6;EQUITY CALL;0,16;0,18;0,16;0,18;;;0,19;7;116200
2022-09-23;PETRK401;BRPETR3K07R7;EQUITY CALL;;;;;;;0,78;;
2022-09-23;PETRK402;BRPETR4K0TP8;EQUITY CALL;1,16;1,39;1,2;1,23;;;1,2;95;160700
2022-09-23;PETRK403;BRPETR4K0UG5;EQUITY CALL;0,23;0,28;0,23;0,23;;;0,25;4;103100
2022-09-23;PETRK404;BRPETR4K0T46;EQUITY CALL;2,52;3,19;2,66;2,65;;;2,61;170;587100
2022-09-23;PETRK406;BRPETR3K07F2;EQUITY CALL;;;;;;;0,71;;
2022-09-23;PETRK408;BRPETR4K0S21;EQUITY CALL;6,45;6,5;6,45;6,45;;;6,34;3;3000
2022-09-23;PETRK410;BRPETR3K07H8;EQUITY CALL;;;;;;;0,64;;
2022-09-23;PETRK411;BRPETR4K0S47;EQUITY CALL;6,12;7,15;6,48;6,12;;;6,14;77;39900
2022-09-23;PETRK412;BRPETR4K0U50;EQUITY CALL;0,2;0,22;0,2;0,22;;;0,22;13;51600
2022-09-23;PETRK414;BRPETR4K0T53;EQUITY CALL;2,11;2,71;2,44;2,23;;;2,17;290;1180300
2022-09-23;PETRK415;BRPETR3K06T5;EQUITY CALL;;;;;;;4,01;;
2022-09-23;PETRK416;BRPETR3K07M8;EQUITY CALL;;;;;;;0,58;;
